Symbol,cluster,Cluster_name
A,0,Lower-vol
AAPL,0,Lower-vol
ABBV,0,Lower-vol
ABNB,1,Higher-vol
ABT,0,Lower-vol
ACGL,0,Lower-vol
ACN,0,Lower-vol
ADBE,0,Lower-vol
ADI,0,Lower-vol
ADM,0,Lower-vol
ADP,0,Lower-vol
ADSK,0,Lower-vol
AEE,0,Lower-vol
AEP,0,Lower-vol
AES,0,Lower-vol
AFL,0,Lower-vol
AIG,0,Lower-vol
AIZ,0,Lower-vol
AJG,0,Lower-vol
AKAM,0,Lower-vol
ALB,1,Higher-vol
ALGN,1,Higher-vol
ALL,0,Lower-vol
ALLE,0,Lower-vol
AMAT,0,Lower-vol
AMCR,0,Lower-vol
AMD,1,Higher-vol
AME,0,Lower-vol
AMGN,0,Lower-vol
AMP,0,Lower-vol
AMT,0,Lower-vol
AMZN,0,Lower-vol
ANET,0,Lower-vol
AON,0,Lower-vol
AOS,0,Lower-vol
APA,1,Higher-vol
APD,0,Lower-vol
APH,0,Lower-vol
APO,0,Lower-vol
APP,1,Higher-vol
APTV,0,Lower-vol
ARE,0,Lower-vol
ARES,0,Lower-vol
ATO,0,Lower-vol
AVB,0,Lower-vol
AVGO,0,Lower-vol
AVY,0,Lower-vol
AWK,0,Lower-vol
AXON,1,Higher-vol
AXP,0,Lower-vol
AZO,0,Lower-vol
BA,0,Lower-vol
BAC,0,Lower-vol
BALL,0,Lower-vol
BAX,0,Lower-vol
BBY,0,Lower-vol
BDX,0,Lower-vol
BEN,0,Lower-vol
BF-B,0,Lower-vol
BG,0,Lower-vol
BIIB,1,Higher-vol
BK,0,Lower-vol
BKNG,0,Lower-vol
BKR,0,Lower-vol
BLDR,0,Lower-vol
BLK,0,Lower-vol
BMY,0,Lower-vol
BR,0,Lower-vol
BRK-B,0,Lower-vol
BRO,0,Lower-vol
BSX,0,Lower-vol
BX,0,Lower-vol
BXP,0,Lower-vol
C,0,Lower-vol
CAG,0,Lower-vol
CAH,0,Lower-vol
CARR,0,Lower-vol
CAT,0,Lower-vol
CB,0,Lower-vol
CBOE,0,Lower-vol
CBRE,0,Lower-vol
CCI,0,Lower-vol
CCL,1,Higher-vol
CDNS,0,Lower-vol
CDW,0,Lower-vol
CEG,0,Lower-vol
CF,0,Lower-vol
