Symbol,cluster,Cluster_name
A,1,Lower-vol / steadier
AAPL,1,Lower-vol / steadier
ABBV,1,Lower-vol / steadier
ABNB,0,Higher-vol / riskier
ABT,1,Lower-vol / steadier
ACGL,1,Lower-vol / steadier
ACN,1,Lower-vol / steadier
ADBE,1,Lower-vol / steadier
ADI,1,Lower-vol / steadier
ADM,1,Lower-vol / steadier
ADP,1,Lower-vol / steadier
ADSK,1,Lower-vol / steadier
AEE,1,Lower-vol / steadier
AEP,1,Lower-vol / steadier
AES,1,Lower-vol / steadier
AFL,1,Lower-vol / steadier
AIG,1,Lower-vol / steadier
AIZ,1,Lower-vol / steadier
AJG,1,Lower-vol / steadier
AKAM,1,Lower-vol / steadier
ALB,0,Higher-vol / riskier
ALGN,0,Higher-vol / riskier
ALL,1,Lower-vol / steadier
ALLE,1,Lower-vol / steadier
AMAT,1,Lower-vol / steadier
AMCR,1,Lower-vol / steadier
AMD,0,Higher-vol / riskier
AME,1,Lower-vol / steadier
AMGN,1,Lower-vol / steadier
AMP,1,Lower-vol / steadier
AMT,1,Lower-vol / steadier
AMZN,1,Lower-vol / steadier
ANET,0,Higher-vol / riskier
AON,1,Lower-vol / steadier
AOS,1,Lower-vol / steadier
APA,0,Higher-vol / riskier
APD,1,Lower-vol / steadier
APH,1,Lower-vol / steadier
APO,1,Lower-vol / steadier
APP,0,Higher-vol / riskier
APTV,1,Lower-vol / steadier
ARE,1,Lower-vol / steadier
ARES,1,Lower-vol / steadier
ATO,1,Lower-vol / steadier
AVB,1,Lower-vol / steadier
AVGO,1,Lower-vol / steadier
AVY,1,Lower-vol / steadier
AWK,1,Lower-vol / steadier
AXON,0,Higher-vol / riskier
AXP,1,Lower-vol / steadier
AZO,1,Lower-vol / steadier
BA,1,Lower-vol / steadier
BAC,1,Lower-vol / steadier
BALL,1,Lower-vol / steadier
BAX,1,Lower-vol / steadier
BBY,1,Lower-vol / steadier
BDX,1,Lower-vol / steadier
BEN,1,Lower-vol / steadier
BF-B,1,Lower-vol / steadier
BG,1,Lower-vol / steadier
BIIB,0,Higher-vol / riskier
BK,1,Lower-vol / steadier
BKNG,1,Lower-vol / steadier
BKR,1,Lower-vol / steadier
BLDR,0,Higher-vol / riskier
BLK,1,Lower-vol / steadier
BMY,1,Lower-vol / steadier
BR,1,Lower-vol / steadier
BRK-B,1,Lower-vol / steadier
BRO,1,Lower-vol / steadier
BSX,1,Lower-vol / steadier
BX,0,Higher-vol / riskier
BXP,1,Lower-vol / steadier
C,1,Lower-vol / steadier
CAG,1,Lower-vol / steadier
CAH,1,Lower-vol / steadier
CARR,1,Lower-vol / steadier
CAT,1,Lower-vol / steadier
CB,1,Lower-vol / steadier
CBOE,1,Lower-vol / steadier
CBRE,1,Lower-vol / steadier
CCI,1,Lower-vol / steadier
CCL,0,Higher-vol / riskier
CDNS,1,Lower-vol / steadier
CDW,1,Lower-vol / steadier
CEG,0,Higher-vol / riskier
CF,0,Higher-vol / riskier
CFG,1,Lower-vol / steadier
CHD,1,Lower-vol / steadier
CHRW,1,Lower-vol / steadier
CHTR,1,Lower-vol / steadier
CI,1,Lower-vol / steadier
CIEN,1,Lower-vol / steadier
CINF,1,Lower-vol / steadier
CL,1,Lower-vol / steadier
CLX,1,Lower-vol / steadier
CMCSA,1,Lower-vol / steadier
CME,1,Lower-vol / steadier
CMG,1,Lower-vol / steadier
CMI,1,Lower-vol / steadier
CMS,1,Lower-vol / steadier
CNC,1,Lower-vol / steadier
CNP,1,Lower-vol / steadier
COF,1,Lower-vol / steadier
COIN,0,Higher-vol / riskier
COO,1,Lower-vol / steadier
COP,1,Lower-vol / steadier
COR,1,Lower-vol / steadier
COST,1,Lower-vol / steadier
CPAY,1,Lower-vol / steadier
CPB,1,Lower-vol / steadier
CPRT,1,Lower-vol / steadier
CPT,1,Lower-vol / steadier
CRH,1,Lower-vol / steadier
CRL,1,Lower-vol / steadier
CRM,1,Lower-vol / steadier
CRWD,0,Higher-vol / riskier
CSCO,1,Lower-vol / steadier
CSGP,1,Lower-vol / steadier
CSX,1,Lower-vol / steadier
CTAS,1,Lower-vol / steadier
CTRA,1,Lower-vol / steadier
CTSH,1,Lower-vol / steadier
CTVA,1,Lower-vol / steadier
CVNA,0,Higher-vol / riskier
CVS,1,Lower-vol / steadier
CVX,1,Lower-vol / steadier
D,1,Lower-vol / steadier
DAL,1,Lower-vol / steadier
DASH,0,Higher-vol / riskier
DD,1,Lower-vol / steadier
DDOG,0,Higher-vol / riskier
DE,1,Lower-vol / steadier
DECK,0,Higher-vol / riskier
DELL,0,Higher-vol / riskier
DG,1,Lower-vol / steadier
DGX,1,Lower-vol / steadier
DHI,1,Lower-vol / steadier
DHR,1,Lower-vol / steadier
DIS,1,Lower-vol / steadier
DLR,1,Lower-vol / steadier
DLTR,1,Lower-vol / steadier
DOC,1,Lower-vol / steadier
DOV,1,Lower-vol / steadier
DOW,1,Lower-vol / steadier
DPZ,1,Lower-vol / steadier
DRI,1,Lower-vol / steadier
DTE,1,Lower-vol / steadier
DUK,1,Lower-vol / steadier
DVA,1,Lower-vol / steadier
DVN,0,Higher-vol / riskier
DXCM,0,Higher-vol / riskier
EA,1,Lower-vol / steadier
EBAY,1,Lower-vol / steadier
ECL,1,Lower-vol / steadier
ED,1,Lower-vol / steadier
EFX,1,Lower-vol / steadier
EG,1,Lower-vol / steadier
EIX,1,Lower-vol / steadier
EL,1,Lower-vol / steadier
ELV,1,Lower-vol / steadier
EME,1,Lower-vol / steadier
EMR,1,Lower-vol / steadier
EOG,1,Lower-vol / steadier
EPAM,0,Higher-vol / riskier
EQIX,1,Lower-vol / steadier
EQR,1,Lower-vol / steadier
EQT,0,Higher-vol / riskier
ERIE,1,Lower-vol / steadier
ES,1,Lower-vol / steadier
ESS,1,Lower-vol / steadier
ETN,1,Lower-vol / steadier
ETR,1,Lower-vol / steadier
EVRG,1,Lower-vol / steadier
EW,1,Lower-vol / steadier
EXC,1,Lower-vol / steadier
EXE,0,Higher-vol / riskier
EXPD,1,Lower-vol / steadier
EXPE,0,Higher-vol / riskier
EXR,1,Lower-vol / steadier
F,1,Lower-vol / steadier
FANG,0,Higher-vol / riskier
FAST,1,Lower-vol / steadier
FCX,0,Higher-vol / riskier
FDS,1,Lower-vol / steadier
FDX,1,Lower-vol / steadier
FE,1,Lower-vol / steadier
FFIV,1,Lower-vol / steadier
FICO,1,Lower-vol / steadier
FIS,1,Lower-vol / steadier
FISV,1,Lower-vol / steadier
FITB,1,Lower-vol / steadier
FIX,1,Lower-vol / steadier
FOX,1,Lower-vol / steadier
FOXA,1,Lower-vol / steadier
FRT,1,Lower-vol / steadier
FSLR,0,Higher-vol / riskier
FTNT,0,Higher-vol / riskier
FTV,1,Lower-vol / steadier
GD,1,Lower-vol / steadier
GDDY,1,Lower-vol / steadier
GE,1,Lower-vol / steadier
GEHC,1,Lower-vol / steadier
GEN,1,Lower-vol / steadier
GILD,1,Lower-vol / steadier
GIS,1,Lower-vol / steadier
GL,1,Lower-vol / steadier
GLW,1,Lower-vol / steadier
GM,1,Lower-vol / steadier
GNRC,0,Higher-vol / riskier
GOOG,1,Lower-vol / steadier
GOOGL,1,Lower-vol / steadier
GPC,1,Lower-vol / steadier
GPN,1,Lower-vol / steadier
GRMN,1,Lower-vol / steadier
GS,1,Lower-vol / steadier
GWW,1,Lower-vol / steadier
HAL,0,Higher-vol / riskier
HAS,1,Lower-vol / steadier
HBAN,1,Lower-vol / steadier
HCA,1,Lower-vol / steadier
HD,1,Lower-vol / steadier
HIG,1,Lower-vol / steadier
HII,1,Lower-vol / steadier
HLT,1,Lower-vol / steadier
HOLX,1,Lower-vol / steadier
HON,1,Lower-vol / steadier
HOOD,0,Higher-vol / riskier
HPE,1,Lower-vol / steadier
HPQ,1,Lower-vol / steadier
HRL,1,Lower-vol / steadier
HSIC,1,Lower-vol / steadier
HST,1,Lower-vol / steadier
HSY,1,Lower-vol / steadier
HUBB,1,Lower-vol / steadier
HUM,1,Lower-vol / steadier
HWM,1,Lower-vol / steadier
IBKR,1,Lower-vol / steadier
IBM,1,Lower-vol / steadier
ICE,1,Lower-vol / steadier
IDXX,1,Lower-vol / steadier
IEX,1,Lower-vol / steadier
IFF,1,Lower-vol / steadier
INCY,1,Lower-vol / steadier
INTC,1,Lower-vol / steadier
INTU,1,Lower-vol / steadier
INVH,1,Lower-vol / steadier
IP,1,Lower-vol / steadier
IQV,1,Lower-vol / steadier
IR,1,Lower-vol / steadier
IRM,1,Lower-vol / steadier
ISRG,1,Lower-vol / steadier
IT,1,Lower-vol / steadier
ITW,1,Lower-vol / steadier
IVZ,1,Lower-vol / steadier
J,1,Lower-vol / steadier
JBHT,1,Lower-vol / steadier
JBL,1,Lower-vol / steadier
JCI,1,Lower-vol / steadier
JKHY,1,Lower-vol / steadier
JNJ,1,Lower-vol / steadier
JPM,1,Lower-vol / steadier
KDP,1,Lower-vol / steadier
KEY,0,Higher-vol / riskier
KEYS,1,Lower-vol / steadier
KHC,1,Lower-vol / steadier
KIM,1,Lower-vol / steadier
KKR,1,Lower-vol / steadier
KLAC,1,Lower-vol / steadier
KMB,1,Lower-vol / steadier
KMI,1,Lower-vol / steadier
KO,1,Lower-vol / steadier
KR,1,Lower-vol / steadier
KVUE,1,Lower-vol / steadier
L,1,Lower-vol / steadier
LDOS,1,Lower-vol / steadier
LEN,1,Lower-vol / steadier
LH,1,Lower-vol / steadier
LHX,1,Lower-vol / steadier
LII,1,Lower-vol / steadier
LIN,1,Lower-vol / steadier
LLY,1,Lower-vol / steadier
LMT,1,Lower-vol / steadier
LNT,1,Lower-vol / steadier
LOW,1,Lower-vol / steadier
LRCX,0,Higher-vol / riskier
LULU,0,Higher-vol / riskier
LUV,1,Lower-vol / steadier
LVS,0,Higher-vol / riskier
LW,1,Lower-vol / steadier
LYB,1,Lower-vol / steadier
LYV,0,Higher-vol / riskier
MA,1,Lower-vol / steadier
MAA,1,Lower-vol / steadier
MAR,1,Lower-vol / steadier
MAS,1,Lower-vol / steadier
MCD,1,Lower-vol / steadier
MCHP,1,Lower-vol / steadier
MCK,1,Lower-vol / steadier
MCO,1,Lower-vol / steadier
MDLZ,1,Lower-vol / steadier
MDT,1,Lower-vol / steadier
MET,1,Lower-vol / steadier
META,0,Higher-vol / riskier
MGM,1,Lower-vol / steadier
MKC,1,Lower-vol / steadier
MLM,1,Lower-vol / steadier
MMM,1,Lower-vol / steadier
MNST,1,Lower-vol / steadier
MO,1,Lower-vol / steadier
MOH,1,Lower-vol / steadier
MOS,0,Higher-vol / riskier
MPC,1,Lower-vol / steadier
MPWR,0,Higher-vol / riskier
MRK,1,Lower-vol / steadier
MRNA,0,Higher-vol / riskier
MRSH,1,Lower-vol / steadier
MS,1,Lower-vol / steadier
MSCI,1,Lower-vol / steadier
MSFT,1,Lower-vol / steadier
MSI,1,Lower-vol / steadier
MTB,1,Lower-vol / steadier
MTCH,0,Higher-vol / riskier
MTD,1,Lower-vol / steadier
MU,1,Lower-vol / steadier
NCLH,0,Higher-vol / riskier
NDAQ,1,Lower-vol / steadier
NDSN,1,Lower-vol / steadier
NEE,1,Lower-vol / steadier
NEM,1,Lower-vol / steadier
NFLX,0,Higher-vol / riskier
NI,1,Lower-vol / steadier
NKE,1,Lower-vol / steadier
NOC,1,Lower-vol / steadier
NOW,0,Higher-vol / riskier
NRG,1,Lower-vol / steadier
NSC,1,Lower-vol / steadier
NTAP,1,Lower-vol / steadier
NTRS,1,Lower-vol / steadier
NUE,1,Lower-vol / steadier
NVDA,0,Higher-vol / riskier
NVR,1,Lower-vol / steadier
NWS,1,Lower-vol / steadier
NWSA,1,Lower-vol / steadier
NXPI,1,Lower-vol / steadier
O,1,Lower-vol / steadier
ODFL,1,Lower-vol / steadier
OKE,1,Lower-vol / steadier
OMC,1,Lower-vol / steadier
ON,0,Higher-vol / riskier
ORCL,1,Lower-vol / steadier
ORLY,1,Lower-vol / steadier
OTIS,1,Lower-vol / steadier
OXY,0,Higher-vol / riskier
PANW,0,Higher-vol / riskier
PAYC,0,Higher-vol / riskier
PAYX,1,Lower-vol / steadier
PCAR,1,Lower-vol / steadier
PCG,1,Lower-vol / steadier
PEG,1,Lower-vol / steadier
PEP,1,Lower-vol / steadier
PFE,1,Lower-vol / steadier
PFG,1,Lower-vol / steadier
PG,1,Lower-vol / steadier
PGR,1,Lower-vol / steadier
PH,1,Lower-vol / steadier
PHM,1,Lower-vol / steadier
PKG,1,Lower-vol / steadier
PLD,1,Lower-vol / steadier
PLTR,0,Higher-vol / riskier
PM,1,Lower-vol / steadier
PNC,1,Lower-vol / steadier
PNR,1,Lower-vol / steadier
PNW,1,Lower-vol / steadier
PODD,0,Higher-vol / riskier
POOL,1,Lower-vol / steadier
PPG,1,Lower-vol / steadier
PPL,1,Lower-vol / steadier
PRU,1,Lower-vol / steadier
PSA,1,Lower-vol / steadier
PSKY,0,Higher-vol / riskier
PSX,1,Lower-vol / steadier
PTC,1,Lower-vol / steadier
PWR,1,Lower-vol / steadier
PYPL,0,Higher-vol / riskier
QCOM,1,Lower-vol / steadier
RCL,0,Higher-vol / riskier
REG,1,Lower-vol / steadier
REGN,1,Lower-vol / steadier
RF,1,Lower-vol / steadier
RJF,1,Lower-vol / steadier
RL,1,Lower-vol / steadier
RMD,1,Lower-vol / steadier
ROK,1,Lower-vol / steadier
ROL,1,Lower-vol / steadier
ROP,1,Lower-vol / steadier
ROST,1,Lower-vol / steadier
RSG,1,Lower-vol / steadier
RTX,1,Lower-vol / steadier
RVTY,1,Lower-vol / steadier
SBAC,1,Lower-vol / steadier
SBUX,1,Lower-vol / steadier
SCHW,1,Lower-vol / steadier
SHW,1,Lower-vol / steadier
SJM,1,Lower-vol / steadier
SLB,1,Lower-vol / steadier
SMCI,0,Higher-vol / riskier
SNA,1,Lower-vol / steadier
SNPS,1,Lower-vol / steadier
SO,1,Lower-vol / steadier
SPG,1,Lower-vol / steadier
SPGI,1,Lower-vol / steadier
SRE,1,Lower-vol / steadier
STE,1,Lower-vol / steadier
STLD,0,Higher-vol / riskier
STT,1,Lower-vol / steadier
STX,1,Lower-vol / steadier
STZ,1,Lower-vol / steadier
SW,0,Higher-vol / riskier
SWK,1,Lower-vol / steadier
SWKS,1,Lower-vol / steadier
SYF,1,Lower-vol / steadier
SYK,1,Lower-vol / steadier
SYY,1,Lower-vol / steadier
T,1,Lower-vol / steadier
TAP,1,Lower-vol / steadier
TDG,1,Lower-vol / steadier
TDY,1,Lower-vol / steadier
TECH,1,Lower-vol / steadier
TEL,1,Lower-vol / steadier
TER,0,Higher-vol / riskier
TFC,1,Lower-vol / steadier
TGT,1,Lower-vol / steadier
TJX,1,Lower-vol / steadier
TKO,1,Lower-vol / steadier
TMO,1,Lower-vol / steadier
TMUS,1,Lower-vol / steadier
TPL,0,Higher-vol / riskier
TPR,0,Higher-vol / riskier
TRGP,1,Lower-vol / steadier
TRMB,1,Lower-vol / steadier
TROW,1,Lower-vol / steadier
TRV,1,Lower-vol / steadier
TSCO,1,Lower-vol / steadier
TSLA,0,Higher-vol / riskier
TSN,1,Lower-vol / steadier
TT,1,Lower-vol / steadier
TTD,0,Higher-vol / riskier
TTWO,1,Lower-vol / steadier
TXN,1,Lower-vol / steadier
TXT,1,Lower-vol / steadier
TYL,1,Lower-vol / steadier
UAL,0,Higher-vol / riskier
UBER,0,Higher-vol / riskier
UDR,1,Lower-vol / steadier
UHS,1,Lower-vol / steadier
ULTA,1,Lower-vol / steadier
UNH,1,Lower-vol / steadier
UNP,1,Lower-vol / steadier
UPS,1,Lower-vol / steadier
URI,1,Lower-vol / steadier
USB,1,Lower-vol / steadier
V,1,Lower-vol / steadier
VICI,1,Lower-vol / steadier
VLO,1,Lower-vol / steadier
VLTO,1,Lower-vol / steadier
VMC,1,Lower-vol / steadier
VRSK,1,Lower-vol / steadier
VRSN,1,Lower-vol / steadier
VRTX,1,Lower-vol / steadier
VST,1,Lower-vol / steadier
VTR,1,Lower-vol / steadier
VTRS,1,Lower-vol / steadier
VZ,1,Lower-vol / steadier
WAB,1,Lower-vol / steadier
WAT,1,Lower-vol / steadier
WBD,0,Higher-vol / riskier
WDAY,1,Lower-vol / steadier
WDC,0,Higher-vol / riskier
WEC,1,Lower-vol / steadier
WELL,1,Lower-vol / steadier
WFC,1,Lower-vol / steadier
WM,1,Lower-vol / steadier
WMB,1,Lower-vol / steadier
WMT,1,Lower-vol / steadier
WRB,1,Lower-vol / steadier
WSM,0,Higher-vol / riskier
WST,1,Lower-vol / steadier
WTW,1,Lower-vol / steadier
WY,1,Lower-vol / steadier
WYNN,0,Higher-vol / riskier
XEL,1,Lower-vol / steadier
XOM,1,Lower-vol / steadier
XYL,1,Lower-vol / steadier
XYZ,0,Higher-vol / riskier
YUM,1,Lower-vol / steadier
ZBH,1,Lower-vol / steadier
ZBRA,1,Lower-vol / steadier
ZTS,1,Lower-vol / steadier
